date,discharge_m3s,Station_ID
1979-07-13,58.0,2548310
1979-07-14,46.0,2548310
1979-07-15,40.0,2548310
1979-07-16,40.0,2548310
1979-07-17,36.0,2548310
1979-07-18,66.0,2548310
1979-07-19,80.0,2548310
1979-07-20,118.0,2548310
1979-07-21,99.0,2548310
1979-07-22,80.0,2548310
1979-07-23,68.0,2548310
1979-07-24,147.0,2548310
1979-07-25,107.0,2548310
1979-07-26,123.0,2548310
1979-07-27,107.0,2548310
1979-07-28,139.0,2548310
1979-07-29,114.0,2548310
1979-07-30,107.0,2548310
1979-07-31,91.0,2548310
1979-08-01,114.0,2548310
1979-08-02,135.0,2548310
1979-08-03,215.0,2548310
1979-08-04,130.0,2548310
1979-08-05,121.0,2548310
1979-08-06,97.0,2548310
1979-08-07,87.0,2548310
1979-08-08,219.0,2548310
1979-08-09,118.0,2548310
1979-08-10,105.0,2548310
1979-08-11,89.0,2548310
1979-08-12,89.0,2548310
1979-08-13,81.0,2548310
1979-08-14,112.0,2548310
1979-08-15,152.0,2548310
1979-08-16,123.0,2548310
1979-08-17,114.0,2548310
1979-08-18,105.0,2548310
1979-08-19,105.0,2548310
1979-08-20,101.0,2548310
1979-08-21,91.0,2548310
1979-08-22,139.0,2548310
1979-08-23,97.0,2548310
1979-08-24,80.0,2548310
1979-08-25,70.0,2548310
1979-08-26,63.0,2548310
1979-08-27,62.0,2548310
1979-08-28,58.0,2548310
1979-08-29,55.0,2548310
1979-08-30,58.0,2548310
1979-08-31,52.0,2548310
1979-09-01,48.0,2548310
1979-09-02,47.0,2548310
1979-09-03,51.0,2548310
1979-09-04,45.0,2548310
1979-09-05,41.0,2548310
1979-09-06,39.0,2548310
1979-09-07,36.0,2548310
1979-09-08,35.0,2548310
1979-09-09,35.0,2548310
1979-09-10,34.0,2548310
1979-09-11,32.0,2548310
1979-09-12,35.0,2548310
1979-09-13,31.0,2548310
1979-09-14,29.0,2548310
1979-09-15,28.0,2548310
1979-09-16,26.0,2548310
1979-09-17,25.0,2548310
1979-09-18,31.0,2548310
1979-09-19,25.0,2548310
1979-09-20,26.0,2548310
1979-09-21,23.0,2548310
1979-09-22,21.0,2548310
1979-09-23,21.0,2548310
1979-09-24,20.0,2548310
1979-09-25,19.0,2548310
1979-09-26,19.0,2548310
1979-09-27,19.0,2548310
1979-09-28,18.0,2548310
1979-09-29,18.0,2548310
1979-09-30,17.0,2548310
1979-10-01,28.0,2548310
1979-10-02,20.0,2548310
1979-10-03,25.0,2548310
1979-10-04,24.0,2548310
1979-10-05,19.0,2548310
1979-10-06,18.0,2548310
1979-10-07,17.0,2548310
1979-10-08,18.0,2548310
1979-10-09,16.0,2548310
1979-10-10,16.0,2548310
1979-10-11,15.0,2548310
1979-10-12,15.0,2548310
1979-10-13,15.0,2548310
1979-10-14,14.0,2548310
1979-10-15,14.0,2548310
1979-10-16,14.0,2548310
1979-10-17,14.0,2548310
1979-10-18,13.0,2548310
1979-10-19,13.0,2548310
1979-10-20,13.0,2548310
1979-10-21,13.0,2548310
1979-10-22,12.0,2548310
1979-10-23,12.0,2548310
1979-10-24,12.0,2548310
1979-10-25,11.0,2548310
1979-10-26,11.0,2548310
1979-10-27,11.0,2548310
1979-10-28,11.0,2548310
1979-10-29,11.0,2548310
1979-10-30,10.0,2548310
1979-10-31,10.0,2548310
1979-11-01,10.0,2548310
1979-11-02,10.0,2548310
1979-11-03,10.0,2548310
1979-11-04,10.0,2548310
1979-11-05,10.0,2548310
1979-11-06,9.0,2548310
1979-11-07,9.0,2548310
1979-11-08,9.0,2548310
1979-11-09,9.0,2548310
1979-11-10,9.0,2548310
1979-11-11,10.0,2548310
1979-11-12,9.0,2548310
1979-11-13,8.0,2548310
1979-11-14,8.0,2548310
1979-11-15,8.0,2548310
