grdc_no,date,original,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2550500,1972-08-01,626.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-09-01,538.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-10-01,224.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-11-01,120.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1972-12-01,81.1,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-01-01,61.7,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-02-01,49.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-03-01,49.2,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-04-01,65.4,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-05-01,177.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-06-01,719.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-07-01,694.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-08-01,995.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-09-01,729.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-10-01,600.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-11-01,187.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1973-12-01,109.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1974-01-01,79.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
